age,annual_income,employment_length,credit_score,dti_ratio,utilization,num_derogatory,num_credit_lines,home_ownership,loan_amount,loan_purpose,default_flag
63,60307,3,766,0.1907,0.0,0,15,mortgage,12700,home_improvement,0
22,52276,0,658,0.1908,0.1721,0,12,rent,11600,medical,0
55,90453,7,789,0.267,0.218,0,8,rent,9300,debt_consolidation,0
60,33206,9,689,0.403,0.0981,0,11,rent,8900,education,1
67,43671,20,843,0.2885,0.1381,0,15,own,11600,business,0
24,34515,2,792,0.1335,0.162,0,8,rent,3500,debt_consolidation,0
64,50885,11,761,0.4005,0.2279,0,21,mortgage,5000,personal,0
67,56039,7,697,0.446,0.3284,0,15,rent,14500,medical,1
66,57296,1,650,0.3199,0.3804,0,7,mortgage,13300,business,0
32,41504,8,665,0.2416,0.3587,0,19,rent,3400,home_improvement,0
27,26765,5,655,0.3626,0.1079,0,15,rent,800,medical,0
45,69958,17,690,0.2942,0.4087,0,7,rent,13800,medical,0
38,23403,16,656,0.3136,0.3095,0,4,mortgage,3100,home_improvement,0
36,74012,1,696,0.2328,0.2509,0,8,mortgage,21500,debt_consolidation,0
43,49772,17,675,0.3851,0.3622,0,11,rent,10800,debt_consolidation,1
46,32453,18,677,0.2521,0.1153,0,8,rent,4500,medical,0
38,47524,8,648,0.407,0.1754,0,21,own,9100,education,0
46,25663,2,735,0.4101,0.1132,0,7,rent,3000,personal,0
53,48182,1,711,0.3794,0.0073,0,8,rent,15600,home_improvement,1
61,47482,5,742,0.1635,0.2918,0,18,rent,16200,personal,0
39,55588,3,782,0.3583,0.0647,0,6,rent,13600,home_improvement,0
69,66114,10,696,0.2344,0.4603,0,19,own,16600,personal,0
66,51209,5,633,0.2738,0.3781,0,17,mortgage,8800,medical,0
25,39089,3,690,0.393,0.1641,0,15,rent,7800,debt_consolidation,0
45,43065,11,717,0.209,0.3802,0,7,mortgage,4300,debt_consolidation,0
28,40966,6,651,0.2979,0.4286,0,6,rent,11100,medical,1
67,46911,39,700,0.4293,0.2754,0,10,mortgage,5600,debt_consolidation,0
64,20000,4,718,0.4039,0.3925,0,20,rent,6000,medical,0
40,53173,9,700,0.2803,0.2966,0,7,rent,4600,medical,0
30,56704,8,649,0.3237,0.3517,0,14,rent,700,debt_consolidation,0
55,51175,5,736,0.402,0.4253,0,8,mortgage,800,medical,0
49,68705,15,815,0.2312,0.1767,0,8,mortgage,16100,education,0
61,54099,4,597,0.4355,0.4923,0,19,rent,11500,home_improvement,0
32,51830,10,743,0.3383,0.0139,0,11,mortgage,12000,business,0
22,23444,0,679,0.3632,0.2226,0,15,rent,3300,business,1
62,50482,0,638,0.3414,0.4984,0,22,mortgage,1800,business,0
65,50421,6,800,0.301,0.1418,0,15,mortgage,12100,education,0
35,41454,1,648,0.4818,0.2979,0,6,own,3300,medical,0
30,20000,4,735,0.3998,0.5112,0,21,rent,2000,business,0
50,53331,24,699,0.3403,0.5622,0,14,mortgage,20100,education,0
53,69999,1,700,0.4459,0.2826,0,21,own,15500,personal,1
61,56149,3,640,0.3959,0.3463,0,10,own,1500,personal,0
53,59292,2,616,0.4298,0.1626,0,15,rent,7300,personal,1
40,50845,16,664,0.4652,0.2412,0,11,rent,14000,personal,1
58,65042,3,653,0.3788,0.2759,0,8,own,9300,debt_consolidation,0
49,70844,2,710,0.2945,0.3886,0,12,own,28000,education,1
50,49890,12,777,0.3155,0.2993,0,17,rent,19500,debt_consolidation,0
66,29067,0,810,0.2889,0.1763,0,12,rent,10400,debt_consolidation,1
30,57914,6,691,0.249,0.3916,0,10,rent,15800,medical,1
64,78160,6,832,0.4749,0.2394,0,14,own,18100,education,0
22,23516,0,594,0.1887,0.1178,0,12,rent,700,education,0
47,24857,2,746,0.3509,0.0193,0,14,rent,500,debt_consolidation,0
53,20000,15,784,0.3892,0.1577,0,17,rent,5800,medical,0
64,49311,4,770,0.2741,0.5279,0,11,mortgage,3000,business,0
60,30250,3,720,0.388,0.2754,0,10,rent,1000,medical,0
50,52014,12,784,0.3282,0.1783,0,20,mortgage,20000,personal,0
22,43328,0,668,0.203,0.4187,0,7,mortgage,10500,home_improvement,1
23,63638,1,634,0.2492,0.1611,0,7,own,2100,education,0
32,54258,5,678,0.342,0.1827,0,19,rent,16300,debt_consolidation,0
51,73457,20,767,0.292,0.2234,0,7,mortgage,5100,personal,0
42,40003,0,728,0.3121,0.2702,0,1,mortgage,2100,home_improvement,0
34,44742,9,712,0.3089,0.4159,0,9,rent,6800,education,0
26,20000,0,680,0.3603,0.4485,0,12,rent,600,personal,0
38,63322,16,608,0.4567,0.4261,0,12,rent,8100,business,0
62,36432,6,667,0.2738,0.4618,0,13,mortgage,900,debt_consolidation,0
31,56232,5,604,0.2467,0.3327,0,20,rent,20600,business,0
57,43188,5,679,0.1925,0.3065,0,22,rent,3300,education,0
38,68855,4,752,0.343,0.4329,0,12,mortgage,1100,business,0
54,40648,4,672,0.2894,0.2594,0,10,rent,7300,personal,1
40,34731,6,683,0.3677,0.2276,0,18,rent,6800,personal,1
32,33783,10,754,0.3702,0.329,0,7,mortgage,7000,education,0
54,47352,5,730,0.3108,0.169,0,15,rent,13300,medical,1
56,65036,8,721,0.3454,0.1234,0,11,mortgage,16100,home_improvement,0
64,43437,24,698,0.2919,0.2267,0,16,own,6900,personal,0
29,48733,7,659,0.428,0.3161,0,7,mortgage,6700,business,0
55,34970,3,733,0.2969,0.335,0,8,rent,5000,business,0
46,42424,4,645,0.4618,0.2168,0,11,mortgage,9700,home_improvement,0
56,40546,25,722,0.2199,0.3702,0,12,own,15300,business,1
38,41742,16,648,0.4093,0.4088,0,11,rent,2700,education,0
54,50607,19,660,0.294,0.2366,0,10,rent,17000,personal,0
51,67353,3,679,0.3168,0.21,0,22,own,21400,business,1
51,20000,2,695,0.286,0.2137,0,11,rent,3400,medical,0
58,53061,3,788,0.3465,0.0643,0,12,rent,9700,education,0
39,37814,7,787,0.4442,0.0913,0,14,rent,13700,debt_consolidation,1
47,41977,1,720,0.4268,0.1663,0,15,rent,6000,education,0
67,39535,21,676,0.472,0.0,0,17,rent,14500,education,0
68,32457,3,701,0.2689,0.2599,0,29,own,11900,home_improvement,0
67,41574,12,734,0.2584,0.3862,0,12,rent,7600,personal,0
28,33768,3,635,0.3668,0.3339,0,12,rent,6900,debt_consolidation,0
69,40676,6,784,0.4256,0.03,0,16,mortgage,12400,education,0
32,51721,0,708,0.498,0.1566,0,7,rent,13700,home_improvement,0
26,62195,0,545,0.3037,0.5955,1,12,mortgage,13900,education,1
70,20000,1,683,0.1861,0.2789,0,7,mortgage,2600,debt_consolidation,0
67,61709,16,705,0.2069,0.2668,0,14,mortgage,12800,education,0
41,20000,7,700,0.2337,0.2672,0,12,rent,3400,home_improvement,0
61,53004,1,788,0.3748,0.0181,0,9,mortgage,3200,home_improvement,0
60,21292,38,802,0.3526,0.0,0,12,rent,3300,home_improvement,0
64,20000,0,776,0.2308,0.3949,0,11,rent,3800,personal,0
69,76708,2,729,0.3602,0.3193,0,9,mortgage,8700,debt_consolidation,0
53,20000,5,713,0.3023,0.057,0,2,rent,5500,education,0
59,56890,8,734,0.2106,0.344,0,11,rent,21000,education,0
59,39838,5,644,0.3716,0.5227,0,16,rent,14100,medical,1
69,78005,1,804,0.359,0.0,0,14,mortgage,26500,personal,0
34,66706,5,647,0.4583,0.3447,0,7,rent,3500,education,0
22,32172,0,725,0.2075,0.276,0,14,rent,2300,medical,0
40,95211,4,691,0.4123,0.123,0,16,own,17600,business,0
34,52809,8,576,0.3692,0.4735,0,11,rent,7900,home_improvement,1
27,54714,5,664,0.2303,0.3236,0,15,rent,6500,personal,0
61,48432,1,696,0.436,0.1237,0,21,rent,5200,medical,0
45,53030,14,639,0.3247,0.5274,0,14,rent,12500,personal,0
45,50819,0,659,0.2657,0.273,0,1,rent,19900,personal,0
62,27469,24,713,0.324,0.3146,0,11,rent,8400,personal,0
37,30160,0,641,0.3033,0.0584,0,5,rent,5700,home_improvement,0
41,46149,6,746,0.2695,0.0127,0,9,rent,10100,business,0
28,68462,5,747,0.26,0.0,0,1,mortgage,3900,personal,1
34,45880,7,723,0.2599,0.3691,0,8,rent,7700,personal,0
27,28852,5,655,0.4556,0.1674,0,2,rent,11400,debt_consolidation,1
42,57121,5,779,0.4001,0.1158,0,18,mortgage,8100,medical,0
44,20000,7,734,0.4693,0.1517,0,17,rent,2800,debt_consolidation,0
36,34990,0,724,0.1086,0.0,0,10,mortgage,7400,debt_consolidation,0
66,44100,1,668,0.2454,0.3136,0,21,rent,10800,business,0
40,39629,11,790,0.4106,0.2473,0,13,mortgage,2300,medical,0
65,57428,10,691,0.3383,0.0552,0,18,own,18600,personal,0
43,42381,1,709,0.3566,0.0662,0,11,mortgage,14300,medical,1
55,46516,3,707,0.3589,0.4323,0,16,rent,17800,medical,1
57,34023,17,742,0.3797,0.0,0,15,rent,1400,medical,0
23,20000,1,593,0.2129,0.2354,0,12,own,3700,home_improvement,0
35,51896,11,769,0.2808,0.0,0,18,own,8800,home_improvement,0
35,63393,4,613,0.1843,0.3852,0,7,rent,15000,education,0
38,55188,8,637,0.2086,0.1585,0,17,own,4600,debt_consolidation,0
42,48449,1,584,0.3983,0.3795,0,16,own,12000,personal,0
61,77900,13,692,0.249,0.1983,0,15,mortgage,17600,medical,0
69,53158,8,696,0.3533,0.1271,0,9,mortgage,20500,education,0
41,20000,3,701,0.5,0.117,0,13,rent,7400,debt_consolidation,0
24,20000,2,629,0.3259,0.1573,0,17,rent,1500,personal,1
68,20000,2,750,0.2671,0.2661,0,10,rent,5000,personal,0
55,36347,9,694,0.3636,0.404,0,8,rent,10700,debt_consolidation,0
68,51606,21,770,0.3539,0.1991,0,15,own,7900,personal,0
24,20000,2,679,0.2802,0.45,0,9,rent,4400,debt_consolidation,1
27,34869,3,690,0.4523,0.344,0,8,rent,13000,business,1
64,51414,0,798,0.3757,0.0319,0,19,mortgage,15500,debt_consolidation,0
30,54214,8,591,0.2907,0.3831,0,15,mortgage,2000,education,0
62,59612,1,751,0.28,0.0999,0,17,rent,11700,education,0
44,65774,22,677,0.2892,0.0,0,20,mortgage,800,debt_consolidation,0
39,56088,2,724,0.328,0.1554,0,11,own,11900,personal,0
31,29671,5,667,0.2482,0.2041,0,18,rent,11700,home_improvement,1
29,47604,2,720,0.3194,0.22,0,8,own,19000,debt_consolidation,0
48,53993,3,634,0.3165,0.036,0,6,own,7500,business,1
61,37905,0,684,0.3379,0.2047,0,18,mortgage,14900,home_improvement,0
48,58290,11,763,0.3578,0.1254,0,18,rent,18800,business,1
67,26602,3,721,0.2458,0.0,0,22,mortgage,5700,education,0
34,21889,1,717,0.2804,0.3636,0,14,rent,7500,education,0
27,36812,5,642,0.4246,0.145,0,19,rent,9800,personal,0
26,43133,3,578,0.3743,0.2306,0,13,own,2300,business,0
38,46661,7,752,0.3486,0.2069,0,9,mortgage,13400,medical,0
66,38501,22,765,0.4464,0.1352,0,17,rent,15000,medical,0
56,30189,22,761,0.1376,0.3523,0,14,rent,9000,personal,0
65,35195,4,649,0.3138,0.2477,0,19,rent,11600,education,1
23,20000,1,655,0.1478,0.159,0,6,rent,4600,personal,0
42,42478,4,637,0.2688,0.4738,0,9,rent,2000,home_improvement,0
58,51683,4,737,0.3909,0.2006,0,23,rent,18700,debt_consolidation,1
55,74721,29,798,0.3567,0.1702,0,11,rent,7600,home_improvement,0
33,40533,0,568,0.1703,0.5575,0,13,own,700,business,0
31,73229,9,696,0.2045,0.4135,0,15,rent,18400,education,1
64,31159,3,742,0.3458,0.4908,0,15,rent,2200,business,0
39,55154,8,647,0.5,0.3452,0,11,mortgage,21000,medical,1
64,52201,0,793,0.3404,0.2588,0,11,own,19900,business,0
27,25036,5,565,0.4057,0.3366,0,13,rent,6500,personal,0
50,24067,1,683,0.3371,0.1601,0,10,rent,7300,business,1
44,35021,4,601,0.272,0.1366,0,5,rent,10000,personal,1
62,61074,0,739,0.1706,0.2751,0,17,own,5100,debt_consolidation,0
36,82967,5,814,0.1505,0.1272,0,2,rent,28000,medical,0
47,21264,3,685,0.2999,0.1889,0,7,rent,3500,personal,0
51,61246,0,645,0.2671,0.1605,0,14,rent,2100,medical,0
50,41609,9,637,0.2984,0.4005,0,19,rent,8300,debt_consolidation,0
41,61739,0,723,0.2212,0.0899,0,14,own,3400,home_improvement,0
45,33163,2,763,0.3941,0.1317,0,9,rent,9900,business,0
35,60348,9,625,0.2832,0.366,0,22,own,20200,debt_consolidation,1
43,28418,5,691,0.3168,0.1336,0,3,rent,6100,personal,0
50,20271,2,704,0.1409,0.1134,0,6,own,5000,personal,0
41,20000,9,688,0.2758,0.2809,0,3,mortgage,1900,education,0
59,66432,15,647,0.3234,0.0647,0,8,rent,15400,business,0
54,45506,6,713,0.396,0.2592,0,13,mortgage,12200,home_improvement,0
24,47213,2,562,0.3277,0.4474,0,5,own,9200,medical,0
36,43190,4,738,0.3002,0.1835,0,17,mortgage,2400,personal,0
37,48743,6,684,0.2054,0.0406,0,13,mortgage,18700,business,0
30,50796,1,580,0.3196,0.1924,0,8,rent,10000,personal,1
55,70305,10,780,0.4397,0.1136,0,11,mortgage,2900,business,0
42,45797,9,746,0.2798,0.1467,0,11,own,14300,business,0
44,26938,1,705,0.3101,0.1993,0,16,rent,6700,education,0
66,30215,7,815,0.3175,0.3893,0,16,rent,6500,debt_consolidation,0
34,20000,0,697,0.3673,0.0427,0,13,rent,4900,personal,1
68,32361,0,754,0.3275,0.0,0,10,rent,10400,home_improvement,0
63,24815,10,791,0.5,0.1808,0,11,rent,1700,personal,0
24,58702,2,711,0.372,0.0775,0,8,rent,22000,medical,0
40,30811,1,619,0.3241,0.4031,0,10,rent,6700,business,0
31,81173,9,606,0.2562,0.5812,0,14,mortgage,13900,personal,0
63,64076,4,715,0.3886,0.1543,0,15,mortgage,7400,medical,0
55,20000,20,640,0.3314,0.2144,0,24,rent,1400,debt_consolidation,1
38,60884,7,738,0.306,0.0387,0,25,own,20100,medical,0
38,55663,0,651,0.4498,0.1634,0,13,rent,17300,home_improvement,1
27,36291,5,704,0.4474,0.5099,0,9,rent,7700,personal,0
26,52089,4,653,0.3174,0.0,0,17,mortgage,12400,personal,0
28,20000,0,561,0.2123,0.1271,0,6,rent,4500,medical,0
50,70495,0,734,0.2621,0.3102,0,11,rent,20400,education,0
52,50554,14,760,0.3776,0.1981,0,19,mortgage,9000,home_improvement,0
66,41460,3,677,0.2183,0.1082,0,17,mortgage,10700,personal,0
56,61097,13,832,0.3315,0.0441,0,5,own,2400,personal,0
49,64856,4,706,0.3974,0.3605,0,13,own,19900,medical,0
49,58030,25,791,0.2834,0.169,0,12,mortgage,1000,business,0
69,47156,0,665,0.3461,0.443,0,13,mortgage,16300,debt_consolidation,0
44,30716,2,716,0.3873,0.3628,0,15,mortgage,2900,personal,0
49,34063,10,769,0.3466,0.0233,0,9,rent,9900,medical,0
26,38950,4,655,0.2801,0.2668,0,17,rent,14300,education,0
41,66492,0,695,0.4174,0.4431,0,8,rent,14200,home_improvement,0
37,39933,11,640,0.3739,0.268,0,9,rent,3000,personal,0
70,47036,0,766,0.2903,0.2881,0,20,rent,17300,business,0
31,28470,9,631,0.3739,0.0896,0,6,rent,3600,personal,0
54,47085,15,638,0.3013,0.5148,0,12,mortgage,5100,personal,0
51,37263,29,746,0.2472,0.2106,0,9,rent,11100,debt_consolidation,0
22,36704,0,721,0.3363,0.1822,0,13,rent,4400,home_improvement,0
27,35680,4,633,0.4737,0.3083,0,12,own,10600,medical,0
27,46683,3,694,0.3655,0.3371,0,17,rent,11200,debt_consolidation,0
57,40098,13,736,0.2044,0.0637,0,19,rent,3200,business,0
60,46746,6,751,0.4736,0.3115,0,14,rent,9000,personal,1
60,43894,3,762,0.3397,0.2094,0,10,own,7400,medical,0
22,60844,0,731,0.2675,0.3234,0,14,mortgage,21900,debt_consolidation,0
45,46755,3,753,0.198,0.0275,0,17,rent,11900,home_improvement,0
57,49542,1,640,0.3453,0.5678,0,24,mortgage,16400,business,1
27,47020,0,715,0.3887,0.1684,0,13,mortgage,16700,personal,0
53,64009,2,756,0.2778,0.3285,0,14,mortgage,3200,debt_consolidation,0
55,45653,7,709,0.1777,0.261,0,10,own,18100,debt_consolidation,0
28,25556,6,613,0.2231,0.2278,0,8,rent,7800,medical,0
66,33312,32,808,0.4473,0.2938,0,19,rent,9500,home_improvement,0
45,32294,6,649,0.3674,0.4396,0,17,rent,7300,home_improvement,1
66,42260,7,799,0.4211,0.2898,0,8,mortgage,2600,personal,0
36,41444,7,672,0.3891,0.2744,0,14,mortgage,12700,home_improvement,0
29,32897,2,636,0.2487,0.1942,0,20,rent,4000,education,0
29,30371,2,733,0.423,0.1988,0,6,mortgage,7000,education,0
52,48082,4,787,0.469,0.0274,0,19,own,17100,home_improvement,0
29,20000,7,701,0.4101,0.2624,0,12,mortgage,7400,business,1
67,52030,17,681,0.4011,0.1811,0,7,mortgage,15500,business,0
38,39007,0,675,0.3661,0.1652,0,16,mortgage,13500,personal,0
70,49151,7,698,0.2049,0.2237,0,15,rent,10500,home_improvement,0
55,42848,12,727,0.3112,0.0,0,15,own,16600,business,0
46,20000,6,645,0.4352,0.3306,0,6,rent,5300,education,0
54,94503,14,741,0.2547,0.1731,0,11,mortgage,18600,medical,0
49,20000,3,673,0.5,0.195,0,8,rent,2500,medical,1
42,65739,19,758,0.2778,0.1335,0,10,mortgage,15300,debt_consolidation,0
59,20000,0,578,0.3514,0.5464,0,15,rent,6000,medical,1
25,38413,3,598,0.2862,0.4012,0,14,rent,4100,debt_consolidation,0
33,75102,0,613,0.3975,0.1715,0,12,rent,5100,medical,0
30,25889,2,708,0.353,0.4755,0,11,rent,4900,debt_consolidation,1
70,58411,8,695,0.2775,0.3674,0,8,rent,23300,education,1
55,37876,11,689,0.3832,0.1257,0,9,rent,1800,business,0
60,53069,15,696,0.3518,0.1933,0,11,rent,1100,education,0
45,43474,12,695,0.2801,0.3724,0,12,rent,11700,home_improvement,0
31,54620,9,608,0.4349,0.4391,0,15,mortgage,1700,personal,0
62,65748,11,741,0.0962,0.2513,0,18,own,15300,home_improvement,0
42,51882,3,721,0.3044,0.2734,0,9,rent,1900,personal,0
46,39205,6,823,0.48,0.0,0,13,mortgage,9500,home_improvement,1
26,53565,0,509,0.3931,0.3785,0,21,rent,5000,home_improvement,0
34,36874,4,696,0.255,0.1274,0,17,rent,14400,home_improvement,0
57,41782,16,707,0.2793,0.2306,0,14,rent,16700,personal,1
44,52046,15,685,0.276,0.2393,0,8,mortgage,16400,business,0
26,60765,0,714,0.364,0.3244,0,16,rent,20700,personal,0
28,31791,3,661,0.2944,0.1271,0,20,rent,4500,debt_consolidation,0
54,38062,6,641,0.2461,0.5586,0,14,own,900,education,1
70,58163,7,660,0.5,0.3604,0,18,rent,12100,education,0
31,46212,6,614,0.478,0.3448,0,15,rent,14200,debt_consolidation,1
34,44166,12,629,0.3892,0.4103,0,14,rent,15100,personal,0
34,25096,2,704,0.3616,0.0,0,14,rent,1900,debt_consolidation,1
23,71487,1,591,0.296,0.2566,0,11,rent,800,medical,0
46,39056,3,674,0.2153,0.3945,0,10,mortgage,3700,medical,0
51,27992,29,720,0.3013,0.2845,0,14,rent,9500,education,0
56,41787,11,628,0.4328,0.3729,0,16,rent,5800,debt_consolidation,0
42,47220,9,787,0.3406,0.4134,0,13,rent,18200,medical,1
68,45719,5,730,0.3464,0.231,0,17,rent,17100,education,1
32,28772,6,676,0.2737,0.1618,0,5,rent,7600,home_improvement,0
47,59917,1,663,0.1887,0.3471,0,18,own,17100,medical,0
34,30950,0,747,0.3887,0.0462,0,7,mortgage,1600,education,0
54,44015,1,606,0.5,0.2521,0,12,rent,15500,education,1
56,40626,27,798,0.2917,0.1954,0,1,mortgage,2700,home_improvement,0
54,62232,3,630,0.3033,0.297,0,7,mortgage,16100,education,0
67,38125,0,749,0.3181,0.2562,0,18,own,8700,personal,0
53,34350,0,644,0.4788,0.4845,0,16,own,7200,personal,1
44,61893,5,667,0.1935,0.2955,0,4,own,13500,medical,0
64,44205,13,773,0.3771,0.1446,0,8,rent,1500,business,0
37,60190,15,674,0.1926,0.3746,0,12,mortgage,22300,home_improvement,1
67,49459,0,787,0.2769,0.2892,0,4,rent,14000,personal,0
70,31221,1,757,0.2685,0.4163,0,15,rent,8300,business,0
45,20000,0,764,0.3316,0.1858,0,14,rent,7200,debt_consolidation,1
35,45677,13,683,0.5,0.4234,0,13,mortgage,14900,education,1
37,69556,15,773,0.4917,0.4429,0,7,own,11700,debt_consolidation,0
38,30796,9,760,0.4283,0.0,0,17,rent,1600,medical,0
40,32908,6,782,0.3199,0.2677,0,11,rent,7100,medical,0
48,59796,4,683,0.2616,0.2298,0,15,mortgage,16000,personal,0
57,59029,0,690,0.3765,0.4038,0,15,mortgage,19900,business,0
39,69504,4,744,0.2742,0.2875,0,9,mortgage,23700,medical,0
54,37864,23,777,0.2618,0.3583,0,21,own,3200,personal,0
27,31079,5,643,0.3664,0.1695,0,10,mortgage,9900,debt_consolidation,0
53,20411,0,693,0.3947,0.2734,0,14,rent,6300,debt_consolidation,0
43,45649,0,651,0.3634,0.3248,0,10,rent,14700,education,1
62,65488,22,786,0.2786,0.251,0,19,rent,2700,education,1
32,58628,7,767,0.2601,0.0542,0,13,rent,9500,personal,0
60,43328,3,757,0.1958,0.1531,0,21,rent,12200,education,1
